dep_relation;dep_insee;ville_relation;ville_node;ville_insee;lat;lon;name;name_norm;population;source_population
7387;01;146625;36787046;01233;45.7868000;5.5420900;Marchamp;MARCHAMP;118;INSEE 2013
7387;01;146666;36787045;01234;45.7973220;5.7209076;Marignieu;MARIGNIEU;148;INSEE 2013
7387;01;145124;36787048;01235;46.0644464;5.0714969;Marlieux;MARLIEUX;887;INSEE 2013
7387;01;139172;36787047;01236;46.3408621;5.0718348;Marsonnas;MARSONNAS;1005;INSEE 2013
7387;01;26637;36787042;01237;46.2097000;5.6104700;Martignat;MARTIGNAT;1604;INSEE 2013
7387;01;147321;36787041;01238;45.9068000;4.8241000;Massieux;MASSIEUX;2428;INSEE 2013
7387;01;146611;36787044;01239;45.7543000;5.7660700;Massignieu-de-Rives;MASSIGNIEU DE RIVES;608;INSEE 2013
7387;01;148914;36787038;01241;46.2456861;5.3528330;Meillonnas;MEILLONNAS;1298;INSEE 2013
7387;01;145528;36787037;01242;46.0695893;5.4368575;Mérignat;MERIGNAT;139;INSEE 2013
7387;01;145585;36787040;01243;46.0490837;4.7650177;Messimy-sur-Saône;MESSIMY SUR SAONE;1209;INSEE 2013
7387;01;147338;26696173;01244;45.9036300;5.1925264;Meximieux;MEXIMIEUX;7268;INSEE 2013
7387;01;140023;26697336;01246;46.2345899;5.0481173;Mézériat;MEZERIAT;2072;INSEE 2013
7387;01;73946;36787039;01247;46.3662199;5.9960675;Mijoux;MIJOUX;379;INSEE 2013
7387;01;147352;36787034;01248;45.8937017;4.9306164;Mionnay;MIONNAY;2077;INSEE 2013
7387;01;149480;671187035;01249;45.8235227;4.9528525;Miribel;MIRIBEL;9066;INSEE 2013
7387;01;145687;36787033;01250;45.9742953;4.8112945;Misérieux;MISERIEUX;1762;INSEE 2013
7387;01;140754;36787036;01252;46.1392374;4.8116959;Mogneneins;MOGNENEINS;727;INSEE 2013
7387;01;140517;36787035;01254;46.1699000;5.2833900;Montagnat;MONTAGNAT;1646;INSEE 2013
7387;01;146648;36787061;01255;45.7931907;5.4684845;Montagnieu;MONTAGNIEU;495;INSEE 2013
7387;01;140518;36787062;01257;46.1634744;5.8017403;Montanges;MONTANGES;330;INSEE 2013
7387;01;145098;36787063;01258;46.0960000;4.7991000;Montceaux;MONTCEAUX;1164;INSEE 2013
7387;01;140121;36787064;01259;46.2124000;5.1133700;Montcet;MONTCET;665;INSEE 2013
7387;01;148025;36787002;01260;45.9305689;5.0731457;Le Montellier;LE MONTELLIER;244;INSEE 2013
7387;01;148014;36787057;01261;45.9567069;4.9410766;Monthieux;MONTHIEUX;599;INSEE 2013
7387;01;147333;1654657802;01262;45.8498034;5.0568249;Montluel;MONTLUEL;6999;INSEE 2013
7387;01;145113;26698069;01263;46.0840019;4.7614129;Montmerle-sur-Saône;MONTMERLE SUR SAONE;3823;INSEE 2013
7387;01;140127;36787058;01264;46.1975000;5.1235100;Montracol;MONTRACOL;967;INSEE 2013
7387;01;26657;26696606;01265;46.1866471;5.5705397;Montréal-la-Cluse;MONTREAL LA CLUSE;3457;INSEE 2013
7387;01;139201;26698237;01266;46.3373228;5.1302950;Montrevel-en-Bresse;MONTREVEL EN BRESSE;2362;INSEE 2013
7387;01;140520;26695490;01269;46.1534255;5.6058987;Nantua;NANTUA;3713;INSEE 2013
7387;01;146608;36787060;01271;45.7307914;5.7631133;Nattages;NATTAGES;564;INSEE 2013
7387;01;142242;36787053;01272;46.1624000;5.0036600;Neuville-les-Dames;NEUVILLE LES DAMES;1504;INSEE 2013
7387;01;142226;36787054;01273;46.0818044;5.3715563;Neuville-sur-Ain;NEUVILLE SUR AIN;1571;INSEE 2013
7387;01;30300;36787028;01274;46.1416266;5.6328647;Les Neyrolles;LES NEYROLLES;637;INSEE 2013
7387;01;147270;36787055;01275;45.8145950;4.9318223;Neyron;NEYRON;2472;INSEE 2013
7387;01;147230;36787056;01276;45.8264000;5.0668000;Niévroz;NIEVROZ;1488;INSEE 2013
7387;01;145680;36787051;01279;45.9596000;5.4749900;Oncieu;ONCIEU;91;INSEE 2013
7387;01;146705;36787052;01280;45.8374327;5.5391971;Ordonnaz;ORDONNAZ;141;INSEE 2013
7387;01;139875;26695816;01281;46.2763563;6.0931951;Ornex;ORNEX;3531;INSEE 2013
